ISO3,STORMS
AFG,0
AGO,0
ALB,0
ARE,0
ARG,0
ARM,0
ATA,0
ATF,0
AUS,99
AUT,0
AZE,0
BDI,0
BEL,0
BEN,0
BFA,0
BGD,21
BGR,0
BHS,31
BIH,0
BLR,0
BLZ,16
BOL,0
BRA,1
BRN,0
BTN,0
BWA,0
CAF,0
CAN,25
CHE,0
CHL,0
CHN,220
CIV,0
CMR,0
COD,0
COG,0
COL,5
CRI,6
CUB,43
CYN,0
CYP,0
CZE,0
DEU,0
DJI,1
DNK,0
DOM,26
DZA,0
ECU,0
EGY,0
ERI,0
ESP,0
EST,0
ETH,0
FIN,0
FJI,31
FLK,0
FRA,1
GAB,0
GBR,1
GEO,0
GHA,0
GIN,0
GMB,0
GNB,0
GNQ,0
GRC,0
GRL,0
GTM,14
GUY,0
HND,22
HRV,0
HTI,24
HUN,0
IDN,7
IND,51
IRL,1
IRN,2
IRQ,0
ISL,0
ISR,0
ITA,0
JAM,19
JOR,0
JPN,128
KAZ,0
KEN,0
KGZ,0
KHM,17
KOR,40
KOS,0
KWT,0
LAO,43
LBN,0
LBR,0
LBY,0
LKA,8
LSO,0
LTU,0
LUX,0
LVA,0
MAR,0
MDA,0
MDG,63
MEX,149
MKD,0
MLI,0
MMR,20
MNE,0
MNG,0
MOZ,31
MRT,0
MWI,3
MYS,2
NAM,0
NCL,32
NER,0
NGA,0
NIC,15
NLD,0
NOR,0
NPL,0
NZL,0
OMN,7
PAK,5
PAN,3
PER,0
PHL,183
PNG,3
POL,0
PRI,22
PRK,8
PRT,0
PRY,0
PSX,0
QAT,0
ROU,0
RUS,0
RWA,0
SAH,0
SAU,1
SDN,0
SDS,0
SEN,0
SLB,4
SLE,0
SLV,2
SOL,3
SOM,3
SRB,0
SUR,0
SVK,0
SVN,0
SWE,0
SWZ,0
SYR,0
TCD,0
TGO,0
THA,14
TJK,0
TKM,0
TLS,0
TTO,3
TUN,0
TUR,0
TWN,113
TZA,3
UGA,0
UKR,0
URY,0
USA,107
UZB,0
VEN,6
VNM,79
VUT,36
YEM,3
ZAF,1
ZMB,0
ZWE,5
